Sl_No,State,District,Spring Name,Latitude,Longitude,Elevation,pH,TDS,DEM_Elevation,Elevation_Difference,DEM_Neighborhood_Median,Neighborhood_Difference,Elevation_QC,Slope,Aspect,Annual_Rainfall_2023,LULC_Code,LULC,Distance_to_Drainage_m,Flow_Accumulation,Clay_0_5cm,Geology,Geology_Code,Geology_Source_Sheet,Geology_QC,Status,Candidate_Cells,Area_km2,Mean_Zone_Score,Median_Zone_Score,Max_Zone_Score,Mean_Elevation_m,Mean_Slope_deg,Mean_Drainage_Distance_m,Mean_Flow_Accumulation,Elevation_Support,Drainage_Support,Slope_Support,TPI_Support,Flow_Support,Evidence_Support_Index,Final_Status,Confidence_Level,Interpretation,Recharge_Suitability_Score,Recharge_Suitability_Class,Indicative_Intervention,Intervention_Category,Risk_Flag,Risk_Level,Spring_Revival_Priority_Score,Priority_Class
1,West Bengal,Darjeeling,Devithan,26.969786,88.366003,1130.68,7.3,,1181.0,50.319999999999936,1189.0,58.319999999999936,OK,24.883787155151367,33.212379455566406,3029.22314453125,10,Tree cover,123.68888888888888,9.0,273.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,1044,0.9396,0.6856418706599715,0.6750098414966003,0.8237166994597316,1210.2567049808429,24.363643674551163,61.332671904148754,78.32183908045977,0.6187739463601533,0.9904214559386972,0.992337164750958,0.7183908045977011,0.7758620689655172,0.824904214559387,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,58.75108275148564,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,74.12266781252444,Higher Priority
2,West Bengal,Darjeeling,Dhankheti,27.011054,88.392356,1019.64,6.8,,1028.0,8.360000000000014,1027.0,7.360000000000014,OK,18.755516052246094,180.0,4049.5537109375,10,Tree cover,144.05336191291235,29.0,264.0,Phyllite,93,78A/8,VISUAL_REVIEW,SPRING_NOT_IN_TOP25_PERCENT,0,,,,,,,,,,,,,,,FIELD_VERIFICATION_REQUIRED,Unresolved,No zone assigned by current workflow; field verification required,72.25410588256001,High,Field verification before intervention,Field Verification,Field verification required,High,28.032584411832005,Lower Priority
3,West Bengal,Darjeeling,Bimla Dhara,27.043502,88.377276,1669.67,6.4,,1669.0,-0.6700000000000728,1669.0,-0.6700000000000728,OK,21.95222854614257,15.673140525817873,4049.5537109375,10,Tree cover,110.20760696961013,2.0,282.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,1160,1.044,0.7264969856101222,0.7177922302878668,0.8682594637305194,1616.4706896551725,21.66830422765096,56.557696388768505,63.22672413793104,0.4129310344827586,0.9896551724137932,0.9698275862068966,0.7137931034482758,0.7491379310344828,0.764051724137931,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,73.21981063504747,High,Contour trench / infiltration treatment,Contour / Infiltration,,Low,79.53145704166167,Higher Priority
4,West Bengal,Darjeeling,Dak Bangla,27.036528,88.352172,1578.63,6.7,,1603.0,24.36999999999989,1607.0,28.36999999999989,OK,13.394087791442873,82.19465637207031,3029.22314453125,10,Tree cover,27.55190174240253,4.0,276.0,Gneiss,831,78A/8,VISUAL_REVIEW,ZONE_CREATED,2084,1.8756,0.7235930208982313,0.7089824985245454,0.8731942413270041,1598.3565260076775,15.068693091856428,39.401763684798375,121.58157389635316,0.553742802303263,0.9985604606525912,0.9904030710172744,0.9856046065259118,0.8310940499040307,0.8586612284069098,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,55.57386385888022,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,73.54676878164742,Higher Priority
5,West Bengal,Darjeeling,Devi Dhara,27.065567,88.369774,1230.4,6.82,,1252.0,21.59999999999991,1249.0,18.59999999999991,OK,20.803756713867188,120.7104949951172,3029.22314453125,10,Tree cover,144.05336191291235,1.0,277.0,Schist,921,78A/8,VISUAL_REVIEW,SPRING_NOT_IN_TOP25_PERCENT,624,0.5616,0.7387,0.7387,0.7387,,,95.6704,,,,,,,,LOWER_CONFIDENCE_ZONE,Lower,Lower-confidence model-derived influence zone; field validation strongly recommended,54.18465808518384,Moderate,Site-specific recharge assessment,Site-specific Assessment,Lower-confidence zone,Moderate,34.07847968620313,Lower Priority
6,West Bengal,Darjeeling,Manager,26.97341,88.369895,1106.75,6.86,,1109.0,2.25,1109.0,2.25,OK,18.337203979492188,167.34878540039062,3029.22314453125,10,Tree cover,248.4964390171536,10.0,291.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,1736,1.5624,0.7320828736307416,0.7164620568791471,0.9148075359552654,1051.836405529954,17.26224308955707,43.38677161997251,131.9233870967742,0.3110599078341013,0.993663594470046,0.9867511520737328,0.8202764976958525,0.868663594470046,0.7768721198156683,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,56.92628171013594,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,71.76930444953801,Higher Priority
7,West Bengal,Darjeeling,Nursery,27.034455,88.349508,1610.59,6.5,,1633.0,22.41000000000008,1633.0,22.41000000000008,OK,13.575847625732422,42.56023025512695,3029.22314453125,10,Tree cover,41.41607316952559,3.0,277.0,Gneiss,831,78A/8,VISUAL_REVIEW,ZONE_CREATED,2084,1.8756,0.7149619058897673,0.6985059477944023,0.8766921349219293,1640.3382918426105,14.971835929968815,46.2290321815626,108.7116122840691,0.6098848368522073,0.9980806142034548,0.9908829174664108,0.949616122840691,0.767274472168906,0.8577015355086373,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,54.9304101523266,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,73.19625114142241,Higher Priority
8,West Bengal,Darjeeling,Rai Dhara,27.061223,88.378927,1386.96,7.13,,1397.0,10.039999999999964,1397.0,10.039999999999964,OK,33.39051818847656,168.8881378173828,4049.5537109375,10,Tree cover,157.0468177602951,7.0,274.0,Schist,921,78A/8,VISUAL_REVIEW,ZONE_CREATED,1139,1.0251,0.7058405642156966,0.6969870111005847,0.8755291558649463,1407.1738366988586,29.57250210136932,54.104595435475176,79.10359964881475,0.4986830553116769,0.9859525899912204,0.8498683055311677,0.7831431079894644,0.8208955223880597,0.7817383669885865,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,65.75497404639866,Moderate,Contour trench / staggered trench,Contour / Infiltration,Steep terrain,High,49.614264721357,Moderate Priority
9,West Bengal,Darjeeling,Sampang Dhara,27.044927,88.404815,932.54,7.86,,881.0,-51.53999999999997,882.0,-50.53999999999997,OK,26.07007598876953,105.3312759399414,4049.5537109375,10,Tree cover,144.05336191291235,12.0,268.0,Gneiss,831,78A/8,VISUAL_REVIEW,SPRING_NOT_IN_TOP25_PERCENT,0,,,,,,,,,,,,,,,FIELD_VERIFICATION_REQUIRED,Unresolved,No zone assigned by current workflow; field verification required,71.57346554772435,High,Field verification before intervention,Field Verification,Field verification required,High,27.811376303010416,Lower Priority
10,West Bengal,Darjeeling,Singh,26.974497,88.367814,1075.78,5.87,,1093.0,17.220000000000027,1094.0,18.220000000000027,OK,17.2628173828125,159.48873901367188,3029.22314453125,10,Tree cover,67.70408110494506,3.0,277.0,Schist,921,78B/5,VISUAL_REVIEW,ZONE_CREATED,1868,1.6812,0.7366301846227153,0.7214255826549757,0.8912600347496025,1038.8849036723768,16.931406723600016,34.65342626424938,158.2789079229122,0.3597430406852248,1.0,0.9876873661670236,0.9668094218415416,0.8586723768736617,0.8112955032119915,PRIMARY_ZONE,Higher,Model-derived probable recharge/influence zone; field validation required,57.46568476935085,Moderate,Site-specific recharge assessment,Site-specific Assessment,,Low,73.07170748103518,Higher Priority
